No,Language,Class,Subject,Title,YoutubeLink,Description,DriveLink,next,,,,,
11,Bengali,9&10,Maths,দ্বিঘাত সমীকরণ - ভাগ 1/3 (Quadratic Equations - Part 1/3) - Bengali Maths,https://www.youtube.com/watch?v=QY_dyeAINw4&list=PLFBHsqw1knQfBwEOW5DqndV4lUQdQWyQo&index=11,"In this video, characteristics of quadratic equations are discussed. Factorization and formula method for finding the roots are explained. The concept of discriminant is discussed and the subsequently nature of roots is explained.",http://bit.ly/2ml9aXP,0,,,,,
12,Bengali,9&10,Maths,দ্বিঘাত সমীকরণ - ভাগ 2/3 (Quadratic Equations - Part 2/3) - Bengali Maths,https://www.youtube.com/watch?v=nVbknHlrxCw&list=PLFBHsqw1knQfBwEOW5DqndV4lUQdQWyQo&index=12,This video covers various solved examples based on the formula method and factorization method taught in the last class.,http://bit.ly/2ml1MMe,1,,,,,
13,Bengali,9&10,Maths,দ্বিঘাত সমীকরণ - ভাগ 3/3 (Quadratic Equations - Part 3/3),https://www.youtube.com/watch?v=OYtyUASwljc,This video covers the nature of the roots of a quadratic equation based on the discriminant. It also shows the parabolic plot of a quadratic equations.,http://bit.ly/2Cp7zHF,2,,,,,
14,Bengali,9&10,Maths,ত্রিকোণমিতি ভাগ ১(Trigonometry Part 1),https://www.youtube.com/watch?v=XOGsKJ0lwSg,"In this video, a motivation for trigonometry is built, it's importance is explained. Also, the trigonometric ratios like sin, cos, tan etc. are explained.",http://bit.ly/2HlILUW,0,,,,,
15,Bengali,9&10,Maths,ত্রিকোণমিতি ভাগ ২(Trigonometry Part 2),https://www.youtube.com/watch?v=E2CEVTMS7eU,"In this video, you will learn relations between the trigonometric ratios sin, cos, tan etc. You will also learn trigonometric identities with their proof, and how to remember them too.",http://bit.ly/2GlDD1z,1,,,,,
16,Bengali,9&10,Maths,ত্রিকোণমিতি ভাগ ৩(Trigonometry Part 3),https://www.youtube.com/watch?v=AeT4dPr5vEM,"Learn how to represent one trigonometric ratio in terms of another ratio, and also practice different types of problems on trigonometry.",http://bit.ly/2BxsQSM,1,,,,,
17,Bengali,9&10,Maths,ত্রিকোণমিতি ভাগ ৪(Trigonometry Part 4),https://www.youtube.com/watch?v=GgGMvuz2ZOo,"Learn what the values of sin, cos, tan, cosec, sec and cot are for the angles 0°, 30°, 45°, 60° and 90°. Learn to solve a few problems and proofs too involving these concepts.",http://bit.ly/2o3XE5X,1,,,,,
18,Bengali,9&10,Maths,ত্রিকোণমিতি ভাগ ৫(Trigonometry Part 5),https://www.youtube.com/watch?v=Miq8v6cYZ5E,"Learn how to find out the value of a trigonometric equation, and with a few tricks to make it easier.",http://bit.ly/2EIPLwq,1,,,,,
19,Bengali,9&10,Maths,ত্রিকোণমিতি ভাগ ৬(Trigonometry Part 6),https://www.youtube.com/watch?v=QFkJTKUO5tA,"In this video, approach to various trigonometric problems is explained using the concepts learnt in the previous five parts.",http://bit.ly/2o4fBSb,2,,,,,
20,Bengali,9&10,Maths,সমান্তর প্রগতি (Arithmetic Progression),https://www.youtube.com/watch?v=7IEGzwVG8Ow,"Learn what is a Series, Arithmetic Progression, the Nth term and Sum of an Arithmetic Progression along-with some examples to elaborate these concepts.",http://bit.ly/2BxR5A9,3,,,,,
21,Bengali,9&10,Maths,বাস্তব সংখ্যা ভাগ ১ (Real Numbers),https://www.youtube.com/watch?v=RXhrzOK-E1U&feature=push-u-sub&attr_tag=9n5R6Pjsp3xjCkcM-6,"Learn about Natural numbers, Whole numbers, Integers and Rational numbers.",http://bit.ly/2EAc9J5,3,,,,,
22,,,,,,,,,,,,,
23,,,,,,,,,,,,,
24,,,,,,,,,,,,,
25,,,,,,,,,,,,,
26,,,,,,,,,,,,,
27,,,,,,,,,,,,,
28,,,,,,,,,,,,,
29,,,,,,,,,,,,,
30,,,,,,,,,,,,,
31,,,,,,,,,,,,,
32,,,,,,,,,,,,,
33,,,,,,,,,,,,,
34,,,,,,,,,,,,,
35,,,,,,,,,,,,,
36,,,,,,,,,,,,,
37,,,,,,,,,,,,,
38,,,,,,,,,,,,,
39,,,,,,,,,,,,,
40,,,,,,,,,,,,,
41,,,,,,,,,,,,,
42,,,,,,,,,,,,,
43,,,,,,,,,,,,,
44,,,,,,,,,,,,,
45,,,,,,,,,,,,,
46,,,,,,,,,,,,,
47,,,,,,,,,,,,,
48,,,,,,,,,,,,,
49,,,,,,,,,,,,,
50,,,,,,,,,,,,,
51,,,,,,,,,,,,,
52,,,,,,,,,,,,,
53,,,,,,,,,,,,,
54,,,,,,,,,,,,,
55,,,,,,,,,,,,,
56,,,,,,,,,,,,,
57,,,,,,,,,,,,,
58,,,,,,,,,,,,,
59,,,,,,,,,,,,,
60,,,,,,,,,,,,,
61,,,,,,,,,,,,,
62,,,,,,,,,,,,,
63,,,,,,,,,,,,,
64,,,,,,,,,,,,,
65,,,,,,,,,,,,,
66,,,,,,,,,,,,,
67,,,,,,,,,,,,,
68,,,,,,,,,,,,,
69,,,,,,,,,,,,,
70,,,,,,,,,,,,,
71,,,,,,,,,,,,,
72,,,,,,,,,,,,,
73,,,,,,,,,,,,,
74,,,,,,,,,,,,,
75,,,,,,,,,,,,,
76,,,,,,,,,,,,,
77,,,,,,,,,,,,,
78,,,,,,,,,,,,,
79,,,,,,,,,,,,,
80,,,,,,,,,,,,,
81,,,,,,,,,,,,,
82,,,,,,,,,,,,,
83,,,,,,,,,,,,,
84,,,,,,,,,,,,,
85,,,,,,,,,,,,,
86,,,,,,,,,,,,,
87,,,,,,,,,,,,,
88,,,,,,,,,,,,,
89,,,,,,,,,,,,,
90,,,,,,,,,,,,,
91,,,,,,,,,,,,,
92,,,,,,,,,,,,,
93,,,,,,,,,,,,,
94,,,,,,,,,,,,,
95,,,,,,,,,,,,,
96,,,,,,,,,,,,,
97,,,,,,,,,,,,,
98,,,,,,,,,,,,,
99,,,,,,,,,,,,,
100,,,,,,,,,,,,,
101,,,,,,,,,,,,,
102,,,,,,,,,,,,,
103,,,,,,,,,,,,,
104,,,,,,,,,,,,,
105,,,,,,,,,,,,,
106,,,,,,,,,,,,,
107,,,,,,,,,,,,,
108,,,,,,,,,,,,,
109,,,,,,,,,,,,,
110,,,,,,,,,,,,,
111,,,,,,,,,,,,,
112,,,,,,,,,,,,,
113,,,,,,,,,,,,,
114,,,,,,,,,,,,,
115,,,,,,,,,,,,,
116,,,,,,,,,,,,,
117,,,,,,,,,,,,,
118,,,,,,,,,,,,,
119,,,,,,,,,,,,,
120,,,,,,,,,,,,,
121,,,,,,,,,,,,,
122,,,,,,,,,,,,,
123,,,,,,,,,,,,,
124,,,,,,,,,,,,,
125,,,,,,,,,,,,,
126,,,,,,,,,,,,,
127,,,,,,,,,,,,,
128,,,,,,,,,,,,,
129,,,,,,,,,,,,,
130,,,,,,,,,,,,,
131,,,,,,,,,,,,,
132,,,,,,,,,,,,,
133,,,,,,,,,,,,,
134,,,,,,,,,,,,,
135,,,,,,,,,,,,,
136,,,,,,,,,,,,,
137,,,,,,,,,,,,,
138,,,,,,,,,,,,,
139,,,,,,,,,,,,,
140,,,,,,,,,,,,,
141,,,,,,,,,,,,,
142,,,,,,,,,,,,,
143,,,,,,,,,,,,,
144,,,,,,,,,,,,,
145,,,,,,,,,,,,,
146,,,,,,,,,,,,,
147,,,,,,,,,,,,,
148,,,,,,,,,,,,,
149,,,,,,,,,,,,,
150,,,,,,,,,,,,,
151,,,,,,,,,,,,,
152,,,,,,,,,,,,,
153,,,,,,,,,,,,,
154,,,,,,,,,,,,,
155,,,,,,,,,,,,,
156,,,,,,,,,,,,,
157,,,,,,,,,,,,,
158,,,,,,,,,,,,,
159,,,,,,,,,,,,,
160,,,,,,,,,,,,,
161,,,,,,,,,,,,,
162,,,,,,,,,,,,,
163,,,,,,,,,,,,,
164,,,,,,,,,,,,,
165,,,,,,,,,,,,,
166,,,,,,,,,,,,,
167,,,,,,,,,,,,,
168,,,,,,,,,,,,,
169,English,Misc,AboutOli,1000 Subscribers | The OLI Journey | A Tribute to the Viewers,https://www.youtube.com/watch?v=MusS-S7TIAk&list=PLFBHsqw1knQfk0ofcM-eHvvX7pyeHLShL&index=2,"Yipee!! We have reached 1000 subscribers!! Celebration is in the air. In this special video hosted by OLI's founder, Yash Sanghvi, we take a look at the amazing journey of this YouTube channel. We hope you'll like it. This video is also a token of gratitude from our side to you, our wonderful audience, without whom, nothing would have been possible. Please keep supporting in the same way in the future as well.",http://bit.ly/2ngz17i,1,,,,,
170,English,Misc,AboutOli,OLI First Year Lookback,https://www.youtube.com/watch?v=F9UgQpRX-L0&list=PLFBHsqw1knQfk0ofcM-eHvvX7pyeHLShL&index=3,This video takes you through all the achievements of OLI in the past one year and also gives an overview of our plan for the next year.,http://bit.ly/2nmVJHJ,1,,,,,
171,English,Misc,AboutOli,December Bonanza 2015,https://www.youtube.com/watch?v=UmvRjbXi46M&index=4&list=PLFBHsqw1knQfk0ofcM-eHvvX7pyeHLShL,"Learn a lot this december with OLI. With minimum one video per day and videos in two more regional languages, namely Malayalam and Telugu and a new playlist containing videos demonstrating common scientific experiments, there is a lot for you this December. Happy Learning!!",http://bit.ly/2nmICXd,2,,,,,
172,,,,,,,,,,,,,
173,,,,,,,,,,,,,
174,,,,,,,,,,,,,
175,,,,,,,,,,,,,
176,,,,,,,,,,,,,
177,,,,,,,,,,,,,
178,,,,,,,,,,,,,
179,,,,,,,,,,,,,
180,,,,,,,,,,,,,
181,,,,,,,,,,,,,
182,,,,,,,,,,,,,
183,,,,,,,,,,,,,
184,,,,,,,,,,,,,
185,,,,,,,,,,,,,
186,,,,,,,,,,,,,
187,,,,,,,,,,,,,
188,,,,,,,,,,,,,
189,,,,,,,,,,,,,
190,,,,,,,,,,,,,
191,,,,,,,,,,,,,
192,,,,,,,,,,,,,
193,,,,,,,,,,,,,
194,,,,,,,,,,,,,
195,,,,,,,,,,,,,
196,,,,,,,,,,,,,
197,,,,,,,,,,,,,
198,,,,,,,,,,,,,
199,,,,,,,,,,,,,
200,,,,,,,,,,,,,
201,,,,,,,,,,,,,
202,,,,,,,,,,,,,
203,,,,,,,,,,,,,
204,,,,,,,,,,,,,
205,,,,,,,,,,,,,
206,,,,,,,,,,,,,
207,,,,,,,,,,,,,
208,,,,,,,,,,,,,
209,,,,,,,,,,,,,
210,,,,,,,,,,,,,
211,,,,,,,,,,,,,
212,,,,,,,,,,,,,
213,,,,,,,,,,,,,
214,,,,,,,,,,,,,
215,,,,,,,,,,,,,
216,,,,,,,,,,,,,
217,,,,,,,,,,,,,
218,,,,,,,,,,,,,
219,,,,,,,,,,,,,
220,,,,,,,,,,,,,
221,Gujarati,9&10,Maths,ત્રિકોણ (Triangle) - Gujarati Maths,https://www.youtube.com/watch?v=VGwwlg6Sy98&list=PLFBHsqw1knQfeg65hHUnPNou4iUoiZWYB&index=1,This video explains 'Triangles' and begins with important definitions related to triangles. Important theorems related to triangles are then explained including congruence theorems. The video ends with a discussion of the various inequalities in a triangle.,http://bit.ly/2n2Tpsf,3,,,,,
222,Gujarati,9&10,Maths,વાસ્તવિક સંખ્યા (Real Numbers) - Gujarati Maths,https://www.youtube.com/watch?v=8GIu1_S3mWs&list=PLFBHsqw1knQfeg65hHUnPNou4iUoiZWYB&index=2,"Real numbers is introduced and the difference between real, rational, irrational numbers etc. is explained. Representing real numbers on the number line is explained. Representation of rational numbers in decimal format is explained and operations on real numbers are covered with illustrative examples.",http://bit.ly/2nn4Hoq,3,,,,,
223,Gujarati,9&10,Maths,ભૂમિતિનું માળખું(Structure of Geometry) - Gujarati Maths,https://www.youtube.com/watch?v=421gI3pQbC0&list=PLFBHsqw1knQfeg65hHUnPNou4iUoiZWYB&index=3,"The important concepts related to geometry, like axioms, postulates, theorems etc. are discussed. Important geometrical phrases, like ""at least"", ""at most"" etc. are discussed and different types of statements, like conditional, biconditional etc. are introduced.",http://bit.ly/2n2Uj88,3,,,,,
224,Gujarati,9&10,Maths,શક્યતા (Probability) - Gujarati Maths,https://www.youtube.com/watch?v=KsxEPi84soU&index=4&list=PLFBHsqw1knQfeg65hHUnPNou4iUoiZWYB,"This video introduces Probability through some motivational examples before taking a more formal approach for the same. Concepts of Sample space, Event, Complement of an Event etc. are introduced through motivational examples. The video concludes with a short quiz.",http://bit.ly/2ml5Vio,3,,,,,
225,Gujarati,9&10,Maths,ત્રિકોણમિતિ(Trigonometry) - Gujarati Maths,https://www.youtube.com/watch?v=P3_uqAIdN9U&list=PLFBHsqw1knQfeg65hHUnPNou4iUoiZWYB&index=5,The video begins with a few motivating examples that illustrate the applications of Trigonometry. Trigonometric ratios are later explained and the important equalities concerning them are discussed. The video then moves on to explain the concept of complementary angles and the relations between the trigonometric ratios of complementary angles. Some other important equations concerning trigonometric equations are then discussed and the video ends with an example which illustrates the use of equations to solve trigonometric problems.,http://bit.ly/2ml0T6t,3,,,,,
226,Gujarati,9&10,Maths,બહુપદી (Polynomials) - Gujarati Maths,https://www.youtube.com/watch?v=FgrDmpThE-U&index=6&list=PLFBHsqw1knQfeg65hHUnPNou4iUoiZWYB,"This video begins with a examples of applications of polynomials and explains why learning polynomials is important. The graphical representation of polynomials is later explained. The relationship between the co-efficients and roots of the polynomials is then taken up. Finally, the video explains the methods of division of polynomials, which includes synthetic division.",http://bit.ly/2mDCJVx,3,,,,,
227,Gujarati,9&10,Maths,સમાંતર શ્રેણી (Arithmetic Progression) - Gujarati Maths,https://www.youtube.com/watch?v=Nbq3IQhXq70&list=PLFBHsqw1knQfeg65hHUnPNou4iUoiZWYB&index=7,This video begins by explaining the importance of sequences in real life and builds the motivation for the chapter. Important terminologies related to Arithmetic Progression are then explained. Illustrative examples are distributed throughout the video to help the students understand the concepts better.,http://bit.ly/2mlfNcP,3,,,,,
228,Gujarati,9&10,Maths,ગણક્રિયાઓ (Set Operations): ભાગ 1/2 (Part 1/2) - Gujarati Maths,https://www.youtube.com/watch?v=MCtAUYVMJaM&list=PLFBHsqw1knQfeg65hHUnPNou4iUoiZWYB&index=8,This video begins with the revision of the content that that students are expected to have covered till Class 8. Union and Intersection and their properties are later studied in great detail with illustrative examples.,http://bit.ly/2nhiT5N,0,,,,,
229,Gujarati,9&10,Maths,ગણક્રિયાઓ (Set Operations): ભાગ 2/2 (Part 2/2) - Gujarati Maths,https://www.youtube.com/watch?v=Hzp346HKjUM&list=PLFBHsqw1knQfeg65hHUnPNou4iUoiZWYB&index=9,This video states and proves distributive and De Morgan's laws using Venn Diagrams. A question is solved at the end to demonstrate the use of these laws.,http://bit.ly/2lUzjR7,2,,,,,
230,Gujarati,9&10,Maths,આંકડાશાસ્ત્ર (Statistics): ભાગ 1/2 (Part 1/2) - Gujarati Maths,https://www.youtube.com/watch?v=Wn3UoB89Nwo&index=10&list=PLFBHsqw1knQfeg65hHUnPNou4iUoiZWYB,"This video focusses on the class 9 syllabus. The video begins with an introduction of statistics and explains its significance. The common statistical terms such as data, range frequency etc. are explained. Methods of representing data, such as bar diagrams, histograms and frequency polygons are explained. Mean, median and mode are later discussed. Illustrative examples are distributed throughout the text.",http://bit.ly/2nnkP9z,0,,,,,
231,Gujarati,9&10,Maths,આંકડાશાસ્ત્ર (Statistics): ભાગ 2/2 (Part 2/2) - Gujarati Maths,https://www.youtube.com/watch?v=FpnNmax6qcA&index=12&list=PLFBHsqw1knQfeg65hHUnPNou4iUoiZWYB,"This video focusses on the class 10 syllabus. Mean, median and mode are discussed and the formulae for calculating them for grouped data are given. The relation among these three measures of central tendency is given at the end of the video.",http://bit.ly/2mTXAWT,2,,,,,
232,Gujarati,9&10,Maths,અંતર અને ઉંચાઈ(Distance and Height) - Gujarati Maths,https://www.youtube.com/watch?v=3S_suByyeHQ&index=11&list=PLFBHsqw1knQfeg65hHUnPNou4iUoiZWYB,"This video begins with an explanation of the basic concepts, i.e., horizontal ray, ray of vision, angle of elevation and angle of depression. After the concepts are explained, three illustrative examples are given to further demonstrate the utility of these concepts with trigonometry.",http://bit.ly/2mljQFS,3,,,,,
233,Gujarati,9&10,Maths,પૃષ્ઠફળ અને ઘનફળ(Surface Area and Volume): ભાગ 1/2 (Part 1/2) - Gujarati Maths,https://www.youtube.com/watch?v=3xbkMmp9dyY&index=13&list=PLFBHsqw1knQfeg65hHUnPNou4iUoiZWYB,"This video focusses on the class 9 syllabus. It begins with examples of applications of the surface area (both total and curved surface area, wherever applicable) and volume formulae in real life. After that, the formulae for cuboid, cube, cylinder, cone and sphere are stated with derivation wherever possible. In most cases, the complex shape is broken down to simpler shapes and the corresponding formulae are then derived. This is followed by a few solved examples.",http://bit.ly/2mljVJG,0,,,,,
234,Gujarati,9&10,Maths,પૃષ્ઠફળ અને ઘનફળ(Surface Area and Volume): ભાગ 2/2 (Part 2/2) - Gujarati Maths,https://www.youtube.com/watch?v=aquTQ1AjShk&index=14&list=PLFBHsqw1knQfeg65hHUnPNou4iUoiZWYB,"This video focusses on class 10 syllabus. It begins with a motivation for the topic. Later, the methods of finding surface area and volume of an assembly of different shapes is explained with illustrative examples. Frustum of a cone is then explained with some illustrative examples.",http://bit.ly/2mFLFeA,2,,,,,
235,Gujarati,9&10,Maths,રચનાઓ(Constructions): ભાગ1/2 (Part 1/2) - Gujarati Maths,https://www.youtube.com/watch?v=iBfwcEt7Ea8&list=PLFBHsqw1knQfeg65hHUnPNou4iUoiZWYB&index=15,"This video is based on the Class 9 syllabus. The methods of construction of the following are discussed:
1. Bisector of an angle
2. Perpendicular bisector of a straight line segment
3. An angle of measure 60 degrees
4. A triangle whose base, one base angle and the sum of measures of other two sides is given
5. A triangle whose base, one base angle and the difference between the measures of other two sides is given
6. A triangle when both the base angles and the perimeter is given

All the steps are clearly explained and the the mathematical principles behind each construction are properly explained.",http://bit.ly/2nnoFzF,0,,,,,
236,Gujarati,9&10,Maths,રચનાઓ(Constructions): ભાગ2/2 (Part 2/2) - Gujarati Maths,https://www.youtube.com/watch?v=tCx4na-LqQM&index=16&list=PLFBHsqw1knQfeg65hHUnPNou4iUoiZWYB,"Published on Dec 19, 2015
This video focusses on the class 10 syllabus. The following is explained:
1. Dividing a line segment in a given ratio
2. Constructing a triangle similar to a given triangle and in a given ratio to the given triangle
3. Constructing the tangent to a circle from points on and outside the circle.

All steps are clearly explained and animations are used for better understanding.",http://bit.ly/2mDl8gp,2,,,,,
237,Gujarati,9&10,Maths,યામ ભૂમિતિ (Co-ordinate Geometry) - Gujarati Maths,https://www.youtube.com/watch?v=bkOwSP81aus&index=17&list=PLFBHsqw1knQfeg65hHUnPNou4iUoiZWYB,"This video gives an introduction to co-ordinate geometry. The Cartesian Coordinate system is defined and other important definitions (axis, origin, quadrants etc.) are given. The method of finding the co-ordinates of a point in the cartesian plane is explained. Also, the method of plotting a point with given coordinates is explained with illustrative examples.",http://bit.ly/2nnjP5g,3,,,,,
238,Gujarati,9&10,Maths,દ્વિચલ સુરેખ સમીકરણ (Linear Equation in Two Variables) - Gujarati Maths,https://www.youtube.com/watch?v=ZBbODBDFako,"In this video, you learn learn what are linear equations and how they are useful to us in our daily lives. Also, you will learn about the general form of a linear equation in two variables, as well as how to find its solution.", http://bit.ly/2FGACgJ,0,Part 1,,,,
239,,,,,,,,,,,,,
240,Gujarati,9&10,Maths,સંખ્યા પદ્ધતિ ભાગ 1 (Number System Part 1) - Gujarati Maths,https://www.youtube.com/watch?v=wKNXmK1uD54&feature=push-u-sub&attr_tag=YRkDY6VBIe9D7-Tt-6,"Learn about Natural numbers, Whole numbers, Integers, Rational numbers as well as Irrational numbers, and how to differentiate between them.",https://bit.ly/2uAScgB,0,,,,,
241,Gujarati,9&10,Maths,સંખ્યા પદ્ધતિ ભાગ 2 (Number System Part 2) - Gujarati Maths,https://www.youtube.com/watch?v=qYqRNuLIxQ4&feature=push-u-sub&attr_tag=N_N4ehZdmgoaP14G-6,"In this video, you will be introduced to the concept of number lines and real numbers, as well as, how the real numbers are placed on the number line.", http://bit.ly/2FIm54k,1,,,,,
242,Gujarati,9&10,Maths,સંખ્યા પદ્ધતિ ભાગ 3 (Number System Part 3) - Gujarati Maths,https://www.youtube.com/watch?v=sRFwePu-uRQ&index=21&list=PLFBHsqw1knQfeg65hHUnPNou4iUoiZWYB,"In this video you will learn what are decimal numbers, and what do we mean by terminating and non-terminating decimal numbers. Also, we will learn how to find the decimal expansion of rational and irrational numbers.",http://bit.ly/2P3Eecd,2,,,,,
243,Gujarati,9&10,Maths,દ્વિચલ સુરેખ સમીકરણ (Linear Equation in Two Variables): ભાગ 2/2 (Part 2/2) - Gujarati Maths,https://www.youtube.com/watch?v=ur2TgFZB_SU,"In this video, you will learn about the graphs of linear equation in two variables. You will also see some solved examples which will help you study the graphs.",https://drive.google.com/open?id=18_AW4xFF4cc9QIvnqFyyEDR1YBL4EbNs,3,,,,,
244,,,,,,,,,,,,,
245,,,,,,,,,,,,,
246,,,,,,,,,,,,,
247,,,,,,,,,,,,,
248,,,,,,,,,,,,,
249,,,,,,,,,,,,,
250,,,,,,,,,,,,,
251,,,,,,,,,,,,,
252,,,,,,,,,,,,,
253,,,,,,,,,,,,,
254,,,,,,,,,,,,,
255,,,,,,,,,,,,,
256,,,,,,,,,,,,,
257,,,,,,,,,,,,,
258,,,,,,,,,,,,,
259,,,,,,,,,,,,,
260,,,,,,,,,,,,,
261,,,,,,,,,,,,,
262,,,,,,,,,,,,,
263,,,,,,,,,,,,,
264,,,,,,,,,,,,,
265,,,,,,,,,,,,,
266,,,,,,,,,,,,,
267,,,,,,,,,,,,,
268,,,,,,,,,,,,,
269,,,,,,,,,,,,,
270,,,,,,,,,,,,,
271,,,,,,,,,,,,,
272,,,,,,,,,,,,,
273,,,,,,,,,,,,,
274,,,,,,,,,,,,,
275,,,,,,,,,,,,,
276,,,,,,,,,,,,,
277,,,,,,,,,,,,,
278,,,,,,,,,,,,,
279,,,,,,,,,,,,,
280,,,,,,,,,,,,,
281,,,,,,,,,,,,,
282,,,,,,,,,,,,,
283,,,,,,,,,,,,,
284,,,,,,,,,,,,,
285,,,,,,,,,,,,,
286,,,,,,,,,,,,,
287,,,,,,,,,,,,,
288,,,,,,,,,,,,,
289,,,,,,,,,,,,,
290,,,,,,,,,,,,,
291,,,,,,,,,,,,,
292,,,,,,,,,,,,,
293,,,,,,,,,,,,,
294,,,,,,,,,,,,,
295,,,,,,,,,,,,,
296,,,,,,,,,,,,,
297,,,,,,,,,,,,,
298,,,,,,,,,,,,,
299,,,,,,,,,,,,,
300,,,,,,,,,,,,,
301,,,,,,,,,,,,,
302,,,,,,,,,,,,,
303,,,,,,,,,,,,,
304,,,,,,,,,,,,,
305,,,,,,,,,,,,,
306,,,,,,,,,,,,,
307,,,,,,,,,,,,,
308,,,,,,,,,,,,,
309,,,,,,,,,,,,,
310,,,,,,,,,,,,,
311,,,,,,,,,,,,,
312,,,,,,,,,,,,,
313,,,,,,,,,,,,,
314,,,,,,,,,,,,,
315,,,,,,,,,,,,,
316,,,,,,,,,,,,,
317,,,,,,,,,,,,,
318,,,,,,,,,,,,,
319,,,,,,,,,,,,,
320,,,,,,,,,,,,,
321,,,,,,,,,,,,,
322,,,,,,,,,,,,,
323,,,,,,,,,,,,,
324,,,,,,,,,,,,,
325,,,,,,,,,,,,,
326,,,,,,,,,,,,,
327,,,,,,,,,,,,,
328,,,,,,,,,,,,,
329,,,,,,,,,,,,,
330,,,,,,,,,,,,,
331,,,,,,,,,,,,,
332,,,,,,,,,,,,,
333,,,,,,,,,,,,,
334,,,,,,,,,,,,,
335,,,,,,,,,,,,,
336,,,,,,,,,,,,,
337,,,,,,,,,,,,,
338,,,,,,,,,,,,,
339,,,,,,,,,,,,,
340,,,,,,,,,,,,,
341,,,,,,,,,,,,,
342,,,,,,,,,,,,,
343,,,,,,,,,,,,,
344,,,,,,,,,,,,,
345,,,,,,,,,,,,,
346,,,,,,,,,,,,,
347,,,,,,,,,,,,,
348,,,,,,,,,,,,,
349,,,,,,,,,,,,,
